ID,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm
LDV04,23.26504,0.655521,6.1380506,1.7834418,10.958202,1.1650275,4.490146,2.9017444,31.45707,0.38885158,6.7580957,1.6926233,14.937538,0.89782697,5.737707,2.6478717
CFE02,21.670557,0.55756515,15.658226,0.8087767,12.642215,1.0723969,-4.1275945,-3.5341232,25.320108,0.4174499,16.850887,0.7445668,14.015415,1.0327929,-6.7950597,-2.2555292
SOU14,18.793293,0.73750144,17.0304,0.7185558,8.675813,1.5409586,1.9065478,7.5980406,25.908375,0.4492388,15.553465,0.8547598,7.807495,2.058953,-3.7881312,-3.9252968
UCA15,13.463632,1.757109,-0.47561058,-32.850983,6.523419,3.0090873,-8.849353,-1.9317434,22.270624,0.96054786,0.35424492,46.621925,9.720401,2.1203213,-10.921034,-1.7075802
GRE04,9.819342,1.5014714,15.539333,0.676744,13.436195,1.0325171,0.0051673427,2512.966,16.937078,0.8916758,18.013126,0.5961259,17.55211,0.8944479,-3.6045787,-4.046514
LYO08,10.083902,1.4835786,-3.1945114,-4.6807394,13.192516,1.2268726,-8.490686,-2.1146288,15.557869,0.8746561,-3.9272053,-3.9647343,15.566562,1.1238283,-14.274398,-1.3025938
BRE08,21.796131,0.639294,10.921394,1.4236165,2.985188,5.6334834,-12.635582,-1.300931,26.717382,0.4393069,10.83574,1.4284976,1.4678594,12.577891,-16.537512,-0.99276143
NOR11,22.559788,0.55780065,10.641486,1.1370233,12.145947,1.1347736,-1.9143736,-7.2844462,25.283434,0.42799073,10.286709,1.1512841,12.866541,1.0680897,-2.4554431,-5.8530016
LOR03,15.329408,0.82061917,15.113916,0.8155061,14.474848,0.943206,-5.7043457,-2.243795,18.308773,0.6247517,15.917541,0.7345396,14.766826,0.988134,-7.5060744,-1.7622021
LYO04,9.591453,1.8548928,-4.1372714,-3.7341552,9.341782,1.6767107,-6.710834,-2.3962889,17.057127,1.0405958,-5.9228034,-2.8575952,12.261149,1.4347322,-12.281346,-1.4154364
OCM17,9.837347,1.4948063,31.264387,0.3684737,14.347298,1.003651,-8.220835,-1.9507313,16.05109,0.7784625,32.771263,0.33173838,15.073078,1.0817479,-9.163839,-2.0270352
PES03,13.229991,1.068565,14.074454,0.8288263,7.9132957,1.6192174,-4.027615,-3.3593125,21.172697,0.55570143,16.455034,0.698935,11.470619,1.2225323,-5.382345,-2.9314137
ALS02,20.077465,0.7105092,20.283907,0.5923548,18.514277,0.8283318,-4.3273444,-3.7122815,24.764854,0.44896373,21.6875,0.47747514,21.321438,0.72650087,-4.7529283,-3.674666
SPC03,14.899397,1.0291337,5.3734756,2.860292,12.050313,1.2801121,-3.2005415,-4.1246805,20.2511,0.6645778,5.509566,2.8127635,11.115272,1.535483,-5.6914425,-2.4650383
BFC07,10.3979645,1.4119536,2.6499348,4.369329,15.119524,0.86956346,12.832203,1.0425124,18.955378,0.7784844,6.2310014,1.8914932,19.706825,0.7818163,13.351608,1.3165517
NOR04,25.323757,0.44515783,8.064956,1.7690654,1.2813265,10.661228,-14.003191,-1.1146498,26.73296,0.39327767,7.7717967,1.8304645,0.9886903,13.949001,-15.237198,-1.0149562
OCM20,10.597258,1.1080855,20.332815,0.64518654,10.870616,1.336236,-31.646395,-0.56676817,14.3073635,0.72684485,18.125814,0.7811941,10.4052725,1.5784742,-37.626053,-0.4665108
PES07,10.680892,1.5418721,8.11233,2.038938,-0.12884988,-128.48254,-17.685463,-1.0517889,16.150742,0.9254724,6.667202,2.5696156,-0.5241909,-34.505432,-23.561798,-0.7549583
LOR02,22.741367,0.76864594,20.373917,0.6336393,17.898762,0.6852573,5.250776,2.265039,30.541594,0.46244326,24.236544,0.42457524,20.00578,0.6698582,6.6554656,2.0147524
OCM10,6.150704,2.2364197,30.863878,0.47094455,16.87615,0.7092541,-11.87297,-1.1840271,12.612813,0.9030144,32.93226,0.41316563,18.554272,0.69454193,-15.391673,-0.97779083
BRE12,13.20088,0.9094675,-3.2516952,-4.5109143,14.518976,1.1409138,-3.6858819,-4.0349636,16.790194,0.67100286,-4.9125,-3.0676079,16.268408,1.1187415,-6.935922,-2.3490593
